name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived
"aosp-mirror/platform_frameworks_base",false,688571,331,master,0,171,Other,906,9999,6106,2903744,"2008-10-21 06:20:37","2022-06-11 06:04:03","2022-06-12 04:43:48",,Java,0,0,121,3,"2022-06-14 01:45:34","47ecbaf0add19dab37c93d76a289f1e0f67eeb37",false,false
"mongodb/mongo-java-driver",false,7943,38,master,123,152,"Apache License 2.0",218,2489,1446,107544,"2009-01-15 03:16:29","2022-07-25 09:44:09","2022-07-22 05:50:23","https://mongodb.github.io/mongo-java-driver",Java,0,0,983,5,"2022-07-25 12:33:07","afb5d0ae6693d1915b7afa3b84d250974fe15998",true,false
unclebob/fitnesse,false,5948,2,master,0,107,Other,153,1814,689,74036,"2008-12-06 07:38:59","2022-07-22 10:22:18","2022-07-25 03:30:26",fitnesse.org,Java,718,83,649,7,"2022-07-22 10:22:18","249f8469432e11e7233152718eed6ea7799279c4",true,false
"aosp-mirror/platform_packages_apps_settings",false,55791,210,master,860,261,Other,58,416,645,1210466,"2008-10-21 06:20:54","2019-09-24 02:01:51","2020-04-11 12:16:03",,Java,0,0,17,0,"2020-04-20 08:40:50","a7bf6a30463aaa72d6f5b1a571f2e0dfd59d8be1",false,false
apache/cassandra,false,27767,11,trunk,0,280,"Apache License 2.0",463,7424,3176,380481,"2009-05-21 02:10:09","2022-07-26 02:19:23","2022-07-25 07:54:25","http://cassandra.apache.org",Java,0,0,1747,225,"2022-07-25 09:34:30","e0a6b83a02804bf976fdc43718001f23818ee53d",false,false
apache/camel,false,59526,49,main,0,322,"Apache License 2.0",271,4423,4553,644868,"2009-05-21 12:25:36","2022-07-19 03:04:33","2022-07-19 12:56:58",https://camel.apache.org,Java,0,0,7995,10,"2022-07-19 10:24:43","280fb8ad9b15910820f8effcac24233d54994d4e",false,false
apache/hive,false,16286,49,master,0,248,"Apache License 2.0",326,4382,4109,630006,"2009-05-21 02:31:01","2022-07-25 05:37:02","2022-07-25 09:23:51",https://hive.apache.org/,Java,0,0,3447,77,"2022-07-25 10:16:13","1c3406ea598e0c2d866b20747602c1a01fa5a425",false,false
apache/maven,false,11607,55,master,3,156,"Apache License 2.0",219,3215,2260,53177,"2009-05-21 03:22:03","2022-07-25 12:22:26","2022-07-26 02:41:33","https://maven.apache.org/ref/current",Java,0,0,734,60,"2022-07-25 07:47:05","cbbb9cf7e390b3215fd424706d06a13b9a7e8bbd",false,false
apache/commons-lang,false,6864,8,master,0,171,"Apache License 2.0",176,2306,1415,27796,"2009-05-21 01:24:46","2022-07-21 01:53:57","2022-07-21 11:35:32",,Java,0,0,921,92,"2022-07-21 01:53:57","b0739b066af253fe6810fb050b915f8608a383e6",false,false
apache/activemq,false,11144,19,main,0,121,"Apache License 2.0",199,2056,1342,59638,"2009-05-21 01:33:45","2022-07-23 07:38:19","2022-07-22 06:50:09",,Java,0,0,855,48,"2022-07-22 01:54:54","e04faac37d4c8b5078c0e66cc53d14353acf0f93",false,false
kohsuke/jenkins,true,27278,7,master,68,513,"MIT License",115,984,7,104635,"2009-07-15 11:26:56","2020-02-11 02:25:28","2020-04-22 06:36:05",http://jenkins-ci.org/,Java,0,0,35,2,"2018-09-16 07:16:22","220b648a9593cecf19258b2aabfe1817222fa312",false,false
apache/tika,false,6085,57,main,0,110,"Apache License 2.0",96,1471,666,232467,"2009-05-21 02:12:11","2022-07-22 06:31:58","2022-07-20 09:07:05",https://tika.apache.org/,Java,0,0,619,51,"2022-07-22 06:26:36","e15893f728087b604964e10837097e2705b6e95b",false,false
liferay/liferay-portal,false,621111,36,master,63,335,Other,165,1879,3251,18287290,"2009-09-25 10:55:58","2022-07-16 09:01:43","2022-07-17 09:19:28",http://liferay.com,Java,0,0,4874,33,"2022-07-16 06:05:47","80e9c102dcc8bc8ae9c415cf644bb729a1574636",false,false
liferay/liferay-plugins,false,22785,3,7.0.x,0,207,Other,113,513,2118,1841295,"2009-09-25 10:56:21","2021-04-28 06:10:03","2021-04-28 06:10:15",,Java,0,0,203,9,"2021-04-28 02:38:46","7f30e96055826fc7971f3f6a424f75fbed1cd3b3",false,false
elastic/elasticsearch,false,65035,201,master,92,350,Other,2719,60415,21972,999083,"2010-02-08 01:20:56","2022-07-20 12:59:09","2022-07-20 01:09:44","https://www.elastic.co/products/elasticsearch",Java,30315,3440,58060,518,"2022-07-19 05:03:08","ab2602ecb08e1ec389573ac7f32fe9942d5b732b",false,false
antlr/antlr4,false,8678,2,master,25,276,Other,370,12634,2764,67551,"2010-02-04 01:36:28","2022-07-23 08:30:54","2022-07-26 01:26:26",http://antlr.org,Java,1952,650,1759,88,"2022-07-22 07:46:53","14703f21b5802e880da8c3afe80824ab651aee07",false,false
graylog2/graylog2-server,false,20467,279,master,0,128,Other,248,6185,967,142980,"2010-05-17 09:27:02","2022-07-22 03:47:34","2022-07-21 01:09:33",https://www.graylog.org,Java,5943,1335,7105,101,"2022-07-22 09:34:46","de301a203f316db006240b7e1cabe3395d3d146c",false,false
cbeust/testng,false,5169,2,master,2,185,"Apache License 2.0",182,1753,937,32393,"2010-06-28 11:10:17","2022-07-13 04:44:04","2022-07-14 09:09:28",http://testng.org,Java,1648,249,1134,30,"2022-07-13 04:44:04","4de3c7b08a5ffd77cdc23277fda45b9dadca949d",true,false
atmosphere/atmosphere,false,6073,19,atmosphere-2.7.x,0,113,,244,3571,760,112599,"2010-06-30 02:26:23","2022-05-31 12:58:55","2022-05-29 03:41:35",http://async-io.org/,Java,2106,38,369,1,"2022-05-31 11:05:51","7ed253ca8b4f804d4d4b9ca978043ea65fb223ed",true,false
wildfly/wildfly,false,34812,24,main,30,311,"GNU Lesser General Public License v2.1",192,2754,2138,250138,"2010-07-08 08:46:07","2022-07-25 09:39:49","2022-07-23 09:58:23",https://wildfly.org,Java,0,0,15738,75,"2022-07-22 04:16:06","e61ad5a96c9d9300795dd0efbaab7f659cb1a6d0",true,false
apache/karaf,false,9105,26,main,0,146,"Apache License 2.0",78,600,637,68494,"2010-08-12 03:32:41","2022-07-22 03:08:22","2022-07-23 04:52:23",,Java,0,0,1597,5,"2022-07-10 05:10:08","b21ac87194dd9820e20eb1cf16539f8a7d4f4ff6",false,false
robolectric/robolectric,false,12446,347,master,84,200,Other,206,5502,1311,53417,"2010-08-28 12:28:25","2022-07-28 07:07:05","2022-07-27 08:33:34",http://robolectric.org,Java,2567,495,4870,197,"2022-07-26 06:53:40","99a5986b9a6d72af7768ffc6c276716ba8b21570",true,false
arduino/arduino,false,7373,8,master,37,251,Other,1094,12964,7034,1387849,"2010-09-17 07:10:36","2022-06-28 05:31:40","2022-07-01 04:15:49","https://www.arduino.cc/en/software",Java,9821,771,1490,107,"2022-04-25 06:43:28","43b0818f7fa8073301db1b80ac832b7b7596b828",true,false
hibernate/hibernate-orm,false,14069,21,main,16,335,,318,5036,3144,209420,"2010-10-04 04:15:52","2022-07-26 10:25:06","2022-07-29 05:36:58",http://hibernate.org,Java,0,0,4995,171,"2022-07-22 02:12:42","2dbf38ef7b141e2f06ec9bff43c4b974611d640a",true,false
netty/netty,false,10871,17,4.1,0,362,"Apache License 2.0",1781,29625,14673,82292,"2010-11-09 09:22:21","2022-07-25 11:04:30","2022-07-26 03:18:24",http://netty.io/,Java,5863,512,6667,35,"2022-07-20 06:29:05","e158794363a7a2a6d06004f26e3e8b15e4fc3254",true,false
infinispan/infinispan,false,14877,28,main,2,169,"Apache License 2.0",90,978,573,159161,"2010-11-04 12:33:19","2022-07-25 07:06:22","2022-07-24 08:23:53","http://www.infinispan.org",Java,0,0,10218,20,"2022-07-25 05:07:21","2ddc0241203b11d5cb101ec71f636368e78ee9e2",false,false
"spring-projects/spring-batch",false,5882,12,main,22,145,"Apache License 2.0",247,2144,2044,101009,"2010-11-17 05:53:45","2022-07-22 09:04:40","2022-07-25 05:33:19","http://projects.spring.io/spring-batch/",Java,3205,328,958,53,"2022-07-21 09:32:35","ee7d12671ba4a132b5786e69022eb10df5ffa224",true,false
jenkinsci/jenkins,false,32630,35,master,193,308,"MIT License",867,19203,7521,144602,"2010-11-22 09:21:23","2022-07-19 06:04:30","2022-07-20 12:51:21",https://www.jenkins.io,Java,0,0,6847,68,"2022-07-19 03:39:31","237b9ca457c032885ed98e29620f0ed8c0e55ca0",false,false
"spring-projects/spring-framework",false,24700,15,main,234,388,"Apache License 2.0",3420,48569,34273,177358,"2010-12-08 04:04:45","2022-07-25 08:38:02","2022-07-26 06:30:40","https://spring.io/projects/spring-framework",Java,22251,1202,3845,198,"2022-07-25 11:45:46","9573fc96ecedfe703af4a001b0ea66e5f74be3bb",true,false
rstudio/rstudio,false,39234,486,main,0,117,Other,247,4015,979,647994,"2010-12-07 07:10:25","2022-07-27 02:31:34","2022-07-29 06:23:37","https://www.rstudio.com/products/rstudio/",Java,6831,1250,4812,5,"2022-07-27 02:31:33","b44036f75972f7c0c0929718ca40f7ca6bce3155",true,false
sonarsource/sonarqube,false,32476,38,master,29,159,"GNU Lesser General Public License v3.0",305,7015,1703,880973,"2011-01-05 11:05:17","2022-07-25 08:04:20","2022-07-26 04:25:48",http://www.sonarqube.org,Java,0,0,3298,0,"2022-07-25 08:03:59","6ad373f011432b79d8fff3772146373017b7758b",false,false
osmandapp/osmand,false,79249,52,master,1,280,Other,136,3239,887,694704,"2011-01-15 07:59:44","2022-07-19 05:02:29","2022-07-19 01:30:16",https://osmand.net,Java,9090,2264,5167,21,"2022-07-19 05:02:21","1a67de2966a13ab978cba7dc1e56c81e2b5cc4c8",false,false
dropwizard/dropwizard,false,6580,17,release/2.1.x,127,357,"Apache License 2.0",392,8245,3424,107217,"2011-01-19 07:52:29","2022-07-21 04:18:42","2022-07-22 08:25:35","https://www.dropwizard.io",Java,1458,19,4013,10,"2022-07-21 04:12:23","1c1a7f64e09e4730be7a1d1356f87e436f5cd4ad",true,false
k9mail/k-9,false,11019,100,main,130,233,"Apache License 2.0",348,6729,2252,82239,"2011-02-04 02:40:00","2022-06-10 02:48:48","2022-06-11 01:02:31",https://k9mail.app/,Java,3574,597,2488,14,"2022-06-09 10:07:02","591d232e26a1cf0a56e04b18a08f52d9403c86da",true,false
kiegroup/drools,false,16235,91,main,0,199,,288,4537,2266,260391,"2011-02-18 08:37:05","2022-07-19 06:19:34","2022-07-19 08:55:04",http://www.drools.org,Java,0,0,4550,21,"2022-07-19 11:55:10","d7794895e659e7cd0ff96915b37ea15d50806c7e",false,false
kiegroup/optaplanner,false,8384,71,main,0,116,"Apache License 2.0",152,2667,859,227959,"2011-02-15 07:38:23","2022-07-19 11:03:36","2022-07-19 03:24:33","https://www.optaplanner.org",Java,0,0,2085,7,"2022-07-19 07:04:25","377c0d7c49b7339bb473dc26e40c614937c101ac",false,false
movingblocks/terasology,false,11887,47,develop,66,263,"Apache License 2.0",202,3362,1311,300122,"2011-03-04 03:49:19","2022-07-05 06:08:01","2022-07-05 06:18:01",http://terasology.org,Java,2012,477,3019,30,"2022-07-05 06:07:59","b367a180d4e32cc0e573f6567f6db54987c092a3",true,false
xwiki/xwiki-platform,false,44938,88,master,0,159,"GNU Lesser General Public License v2.1",59,725,414,481301,"2011-03-10 01:26:41","2022-07-25 02:15:54","2022-07-24 02:17:49","http://platform.xwiki.org/",Java,0,0,1883,55,"2022-07-25 02:14:15","3c8daddfbc6f75599229eadef05e49f55231fff9",false,false
