name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived
basexdb/basex,false,13003,2,master,0,55,"BSD 3-Clause New or Revised License",62,569,257,119864,"2011-02-16 03:02:14","2022-07-22 12:16:45","2022-07-25 12:29:25",http://basex.org,Java,1568,19,561,0,"2022-07-11 11:24:24","b8f93b01042fa54a554aa56f231ffac249089a18",true,false
openjdk/mobile,false,74166,1,master,0,136,Other,15,111,33,478611,"2019-08-30 11:51:43","2022-04-26 01:51:12","2022-04-15 11:33:13",,Java,0,0,15,3,"2022-04-26 01:44:10","f887a46540c61a028ace8327d9bcb8e1b370a9c7",false,false
apache/ofbiz-framework,false,28504,5,trunk,0,57,"Apache License 2.0",82,464,356,732637,"2017-02-13 08:00:07","2022-07-25 03:03:15","2022-07-20 03:17:08","https://ofbiz.apache.org/",Java,0,0,527,69,"2022-07-25 07:16:58","ead5f291469e59805f8ca6c28713ac301561d4c3",false,false
runelite/runelite,false,11960,3,master,0,363,"BSD 2-Clause Simplified License",96,3835,4547,51497,"2016-04-30 08:48:02","2022-07-25 09:11:48","2022-07-26 06:54:45",https://runelite.net,Java,8299,1337,6729,584,"2022-07-25 06:22:07","21c11203d00f2fe0bd526aed957b82addd023932",true,false
openjdk/loom,false,73672,5,fibers,0,145,"GNU General Public License v2.0",94,1462,171,492365,"2019-04-18 06:05:24","2022-07-14 08:30:06","2022-07-16 10:19:04",,Java,0,0,186,0,"2022-07-14 07:59:21","3195dc2c80dacacd7f39293a1a44ca5950078bc6",false,false
prestosql/presto,false,21811,1,master,280,439,"Apache License 2.0",111,1575,792,103886,"2019-01-19 06:38:14","2020-12-17 04:20:06","2020-12-17 12:14:58",https://prestosql.io,Java,1882,884,4482,267,"2020-12-16 10:45:15","24298f409d1683f90700fcbd4693ed2f9623aff0",true,false
adoptopenjdk/openjdk-jdk,false,64673,3,master,0,124,Other,37,101,20,479265,"2020-08-24 10:36:21","2021-06-01 05:31:48","2021-06-01 08:35:14",,Java,0,0,1,0,"2021-06-01 05:10:38","9d8ad2ed62325bd8d813974d5aa1e031ed8bf8da",true,false
apache/shardingsphere,false,34476,1,master,48,338,"Apache License 2.0",981,16601,5774,489800,"2016-01-18 12:49:26","2022-07-19 04:55:12","2022-07-20 12:54:58",,Java,7429,432,11817,26,"2022-07-19 04:55:12","b5881722c89fa1d56df3daeba4f18b4668724ad6",true,false
anuken/mindustry,false,14854,1,master,138,353,"GNU General Public License v3.0",576,15138,2131,1789815,"2017-04-30 01:24:29","2022-07-26 06:56:27","2022-07-26 02:47:44","https://mindustrygame.github.io",Java,3146,8,4011,157,"2022-07-23 05:15:54","fa3bd6dbc6733c7ac297e11d568d7b6d33f2df9d",false,false
primefaces/primefaces,false,13526,2,master,30,185,"MIT License",121,1497,681,110216,"2015-04-11 09:48:53","2022-07-23 02:19:10","2022-07-22 05:52:34","http://www.primefaces.org",Java,5957,168,3061,3,"2022-07-23 02:19:10","5cbf5a01564c92a282b21d940ead086e02ecda41",true,false
tencent/tencentkona-11,false,56236,3,master,9,122,Other,17,231,32,353309,"2021-03-03 10:36:50","2022-04-29 08:39:31","2022-04-30 07:30:37",,Java,8,3,7,0,"2022-04-29 08:39:25","dc173b3db2c76bde9d8a69377361109935dc1e68",true,false
openjdk/jdk17,false,65173,1,master,0,125,Other,8,104,114,952926,"2021-06-10 03:02:15","2021-09-14 07:59:00","2021-09-14 09:09:57",,Java,0,0,306,0,"2021-09-10 02:17:45","4afbcaf55383ec2f5da53282a1547bac3d099e9d",false,true
androidx/media,false,14507,3,release,4,222,"Apache License 2.0",19,238,34,129751,"2021-09-02 06:42:10","2022-07-25 03:40:15","2022-07-24 04:48:48",,Java,94,34,33,7,"2022-07-22 09:31:34","ca6835bf0a1e56ae14fb99f5883bc15b4de9aa6c",false,false
